date,open,high,low,close,adjClose,volume
Wed Jan 01 2020,238.600006,238.600006,237.100006,238.100006,194.749054,4208837
Thu Jan 02 2020,238.199997,240.949997,238.100006,239.850006,196.180435,8402979
Fri Jan 03 2020,241,241,238,238.5,195.076233,9284478
Mon Jan 06 2020,237.5,238.300003,235,235.100006,192.295258,7636617
Tue Jan 07 2020,236.050003,237.899994,234.600006,235.350006,192.499741,8416741
Wed Jan 08 2020,234,235.800003,233.25,234.199997,191.559128,7043211
Thu Jan 09 2020,235.600006,236.600006,235.050003,235.800003,192.867783,9452653
Fri Jan 10 2020,237.600006,238.75,236.800003,238,194.667236,9973746
Mon Jan 13 2020,238.5,240.5,238.25,239.25,195.689667,12243639
Tue Jan 14 2020,240.25,243.800003,238.300003,243.25,198.96138,11843444
Wed Jan 15 2020,242.550003,243,241.100006,242.399994,198.266144,5476729
Thu Jan 16 2020,242.5,243.899994,240.100006,240.75,196.916534,9369668
Fri Jan 17 2020,240.75,242.100006,239.399994,239.949997,196.262222,7392403
Mon Jan 20 2020,240.050003,243.25,240.050003,241.899994,197.857162,8020816
Tue Jan 21 2020,241.449997,241.449997,238,238.449997,195.035309,9571070
Wed Jan 22 2020,239.600006,239.600006,237.100006,238.050003,194.708145,7654918
Thu Jan 23 2020,238.100006,238.75,236.899994,237.899994,194.585464,6120434
Fri Jan 24 2020,237.399994,239.100006,237,238.149994,194.789948,6801874
Mon Jan 27 2020,237,237.399994,234.300003,234.600006,191.886322,6837613
Tue Jan 28 2020,234.75,235.899994,230.5,230.75,188.737259,14582907
Wed Jan 29 2020,231.5,237.649994,231.149994,236.649994,193.563049,20469708
Thu Jan 30 2020,236.949997,237,233,234.050003,191.436432,10394149
Fri Jan 31 2020,235.75,238.399994,234.050003,235.149994,192.336136,18455880
Mon Feb 03 2020,215,216.899994,205,207.600006,169.802185,79764370
Tue Feb 04 2020,210.800003,217.600006,209.149994,215.649994,176.38649,35767812
Wed Feb 05 2020,216.300003,217.5,211.5,216.449997,177.040848,21253607
Thu Feb 06 2020,218,219.899994,211.800003,213.550003,174.668884,27388582
Fri Feb 07 2020,213.800003,215.699997,212.75,213.399994,174.546188,17133407
Mon Feb 10 2020,214,214.050003,210.050003,210.550003,172.215103,9617387
Tue Feb 11 2020,216.5,216.949997,211.800003,212.600006,173.891846,29803784
Wed Feb 12 2020,213.399994,214.800003,211.800003,213.050003,174.259903,9928416
Thu Feb 13 2020,213.050003,213.449997,211.199997,211.899994,173.319275,9153131
Fri Feb 14 2020,212.25,212.899994,206.800003,207.699997,169.883972,13731692
Mon Feb 17 2020,208,208.649994,204,204.800003,167.511993,15561953
Tue Feb 18 2020,204.550003,204.600006,200.5,203.850006,166.73494,20934864
Wed Feb 19 2020,205.25,207.149994,203.850006,206.699997,169.06604,9054560
Thu Feb 20 2020,207,208.550003,205.449997,207.449997,169.679504,15592846
Mon Feb 24 2020,207,207.449997,201.800003,203,166.039703,16594046
Tue Feb 25 2020,203.800003,205.399994,201.5,201.800003,165.058182,15313516
Wed Feb 26 2020,200.649994,201.949997,196.300003,198.600006,162.440811,17869240
Thu Feb 27 2020,198.399994,199.149994,195.899994,197.550003,161.582001,17271066
Fri Feb 28 2020,195,199.899994,192.050003,197.550003,161.582001,32628444
Mon Mar 02 2020,199.5,203.449997,193.649994,195.300003,159.741653,18560049
Tue Mar 03 2020,197,197.449997,192.550003,193.850006,158.555649,17947416
Wed Mar 04 2020,194.949997,195.550003,186.550003,187.5,153.361801,27664076
Thu Mar 05 2020,187.550003,191.199997,186.550003,188.050003,153.811691,20025924
Fri Mar 06 2020,184.850006,184.850006,179.75,181.75,148.658722,26764504
Mon Mar 09 2020,179,179,174.5,177.199997,144.937134,21794299
Wed Mar 11 2020,174,176.75,172.350006,175.649994,143.669357,27956087
Thu Mar 12 2020,169,169.149994,150.550003,155.800003,127.433418,52039692
Fri Mar 13 2020,150,164,134.600006,162.25,132.709091,61590681
Mon Mar 16 2020,158,158.100006,145.25,147.25,120.440125,33254907
Tue Mar 17 2020,148,155.800003,146.050003,149.149994,121.994186,47657482
Wed Mar 18 2020,152.100006,154.649994,147.350006,150.699997,123.262001,50243331
Thu Mar 19 2020,150.699997,163.550003,144.75,161.850006,132.381912,89748454
Fri Mar 20 2020,165.100006,176.5,165.100006,175.5,143.546631,61996400
Mon Mar 23 2020,158,162,149.199997,154.300003,126.206566,51353150
Tue Mar 24 2020,162.949997,163.699997,147.399994,149.699997,122.444046,52552796
Wed Mar 25 2020,151,152,139,147.350006,120.521935,62505978
Thu Mar 26 2020,150,159.399994,143.25,156.399994,127.924194,58443451
Fri Mar 27 2020,162,166,155,163.199997,133.486115,32636484
Mon Mar 30 2020,156.050003,164.899994,156.050003,159.199997,130.214401,28120340
Tue Mar 31 2020,164,173.850006,161.550003,171.699997,140.438492,42630666
Wed Apr 01 2020,171.699997,172.75,164.550003,166.399994,136.103485,18141970
Fri Apr 03 2020,167.899994,182.75,167,177.899994,145.509674,62867436
Tue Apr 07 2020,185.699997,185.699997,173.649994,181.550003,148.495117,36118591
Wed Apr 08 2020,180.850006,184,176.649994,178.649994,146.123123,37561082
Thu Apr 09 2020,184,186.25,180,185.25,151.521469,42626960
Mon Apr 13 2020,184.5,186.649994,181.050003,181.600006,148.536026,17744169
Wed Apr 15 2020,184.050003,193.75,182.699997,189.350006,154.874985,49092699
Thu Apr 16 2020,189.649994,191.199997,185.449997,186.350006,152.421188,27080032
Fri Apr 17 2020,190.449997,191.399994,186.949997,188.100006,153.85257,26667421
Mon Apr 20 2020,189.949997,189.949997,179.5,180.699997,147.799896,35764287
Tue Apr 21 2020,178,184.300003,176.050003,179.600006,146.900177,23333661
Wed Apr 22 2020,179,183.550003,176,182.25,149.067673,25163402
Thu Apr 23 2020,182.949997,184,179.649994,180.550003,147.677216,32968029
Fri Apr 24 2020,181,182.800003,179.300003,180.050003,147.268219,18049697
Mon Apr 27 2020,180.25,182.300003,179.300003,179.850006,147.10466,13085703
Tue Apr 28 2020,180,180.800003,178.050003,179.449997,146.777451,17802635
Wed Apr 29 2020,180.5,182.899994,179.649994,182.149994,148.985855,21461067
Thu Apr 30 2020,184.899994,184.899994,180.449997,182.050003,148.904114,30164713
Mon May 04 2020,181.75,181.75,170.649994,174.050003,142.360641,30294317
Tue May 05 2020,175,177.449997,172,173.899994,142.237946,17707577
Wed May 06 2020,171.399994,171.399994,160.5,163.899994,134.058655,65586734
Thu May 07 2020,164,165.850006,160.5,161,131.686661,24249585
Fri May 08 2020,163.949997,164.149994,157.100006,158.25,129.437363,25307015
Mon May 11 2020,160,163.5,158,158.449997,129.600937,18095473
Tue May 12 2020,158.449997,165.899994,157.5,165.050003,134.999283,21387527
Wed May 13 2020,173.399994,173.600006,164.5,165.399994,135.285553,20015124
Thu May 14 2020,164.5,168.25,161.949997,163.800003,133.976868,14949993
Fri May 15 2020,162.199997,165.5,161.149994,164.649994,134.672104,14950243
Mon May 18 2020,166,167.300003,163.149994,164.75,134.753906,20801299
Tue May 19 2020,166.5,171.649994,165.100006,170.75,139.661499,20142171
Wed May 20 2020,171.949997,177,171,175.75,143.751129,25320734
Thu May 21 2020,175.600006,190.449997,172.649994,188.949997,154.547791,58382197
Fri May 22 2020,188,191.899994,184.600006,186.350006,152.421188,39013770
Tue May 26 2020,190,194.949997,187.800003,191.699997,156.797119,53233404
Wed May 27 2020,192.5,193.899994,186.899994,192.149994,157.165161,24546119
Thu May 28 2020,192.300003,192.899994,189,190.649994,155.938263,24578072
Fri May 29 2020,190.449997,198,189,197.350006,161.418411,35834621
Mon Jun 01 2020,201,205.25,199,200.550003,164.035767,28508405
Tue Jun 02 2020,201.899994,201.899994,196.699997,197.25,161.336639,22631373
Wed Jun 03 2020,200,200.899994,195.600006,196.699997,160.886749,18979188
Thu Jun 04 2020,197.75,202.5,195,200.149994,163.708603,21996048
Fri Jun 05 2020,201.800003,202,198.649994,200,163.585922,14629659
Mon Jun 08 2020,202.899994,203.649994,197,197.649994,161.663803,19551313
Tue Jun 09 2020,198.25,206.199997,197.649994,198.5,162.359039,39914264
Wed Jun 10 2020,199.449997,203.149994,198.300003,199.050003,162.808899,27199665
Thu Jun 11 2020,200,201.25,193.600006,194.25,158.882828,19847133
Fri Jun 12 2020,188.949997,195.199997,187.850006,193.899994,158.596542,22562768
Mon Jun 15 2020,193.899994,193.949997,186.300003,187.199997,153.116425,24462536
Tue Jun 16 2020,190.800003,190.949997,181.899994,185,151.316986,27636105
Wed Jun 17 2020,184,185,180.699997,181.199997,148.208847,24027295
Thu Jun 18 2020,181.199997,187.5,180.699997,186.600006,152.625687,28887489
Fri Jun 19 2020,187.100006,187.949997,183.600006,184.050003,150.539948,30531449
Mon Jun 22 2020,186.5,187.5,183.149994,185,151.316986,31395991
Tue Jun 23 2020,185.399994,187.5,184.75,185.850006,152.012238,26546793
Wed Jun 24 2020,187.399994,194.699997,186.149994,191.850006,156.919785,54652978
Thu Jun 25 2020,192.25,203.5,191.649994,202.100006,165.303574,75574255
Fri Jun 26 2020,206,209.399994,193.300003,195.199997,159.659836,71956002
Mon Jun 29 2020,202.5,203,196.199997,197.25,161.336639,91503336
Tue Jun 30 2020,199.399994,199.399994,194,194.649994,159.209991,41210494
Wed Jul 01 2020,194.649994,203.850006,194.649994,202.899994,165.957947,44297953
Thu Jul 02 2020,204.449997,206.75,202.550003,205.850006,168.370804,39320871
Fri Jul 03 2020,208,208.5,206,207.550003,169.761292,37893277
Mon Jul 06 2020,200.350006,201.949997,198.949997,199.800003,171.825287,34710176
Tue Jul 07 2020,200,200.5,194,194.25,167.052322,31263172
Wed Jul 08 2020,194.25,197.949997,194.25,196.300003,168.815292,21274354
Thu Jul 09 2020,196.899994,197,194.149994,195.449997,168.084305,18769502
Fri Jul 10 2020,195.149994,196.5,194,194.350006,167.138321,16191544
Mon Jul 13 2020,195.899994,198.75,195.100006,197.550003,169.89032,20297515
Tue Jul 14 2020,197.399994,199.5,192.75,195.899994,168.471329,18474376
Wed Jul 15 2020,196.350006,200,194.5,198.699997,170.879272,23776757
Thu Jul 16 2020,198.699997,198.850006,192,193.850006,166.708344,22144320
Fri Jul 17 2020,193.300003,195.399994,193,194.050003,166.880356,14882294
Mon Jul 20 2020,195,195.350006,192.350006,192.699997,165.719345,18914963
Tue Jul 21 2020,192.100006,194.199997,191.5,192.25,165.332367,28010715
Wed Jul 22 2020,193,197.899994,192.5,196.550003,169.030334,32572133
Thu Jul 23 2020,197.649994,201.5,196.800003,200.699997,172.599243,31488108
Fri Jul 24 2020,201,201.699997,197.300003,199.600006,171.653259,60183102
Mon Jul 27 2020,200.5,200.5,195.149994,196.399994,168.901291,22645697
Tue Jul 28 2020,197,198.649994,195.050003,195.399994,168.041321,19287132
Wed Jul 29 2020,193.449997,198.199997,193.399994,196.699997,169.159286,14831635
Thu Jul 30 2020,198.399994,198.399994,192.5,193.350006,166.278351,16315231
Fri Jul 31 2020,193.5,196.949997,193.5,194.149994,166.966339,16652851
Mon Aug 03 2020,194,194,191.899994,192.600006,165.633362,13265411
Tue Aug 04 2020,192.600006,195.800003,192.600006,193.649994,166.536346,17187619
Wed Aug 05 2020,194.5,194.600006,191.699997,192.800003,165.805359,48768332
Thu Aug 06 2020,194.199997,195.600006,193.100006,195.350006,167.998322,17886089
Fri Aug 07 2020,195.5,197,194.149994,196.050003,168.600327,20911818
Mon Aug 10 2020,196.399994,199.649994,196.399994,198.850006,171.008286,16474505
