timestamp,open,high,low,close,adjusted close,volume,dividend amount
2024-11-22,227.3000,255.2500,223.3000,232.1500,232.1500,72491,0.0000
2024-11-14,289.8500,310.0000,234.1000,239.4500,239.4500,307733,0.0000
2024-11-08,204.7000,287.5000,191.0500,287.3000,287.3000,408309,0.0000
2024-11-01,207.9500,207.9500,181.9000,199.2500,199.2500,70846,0.0000
2024-10-25,226.2000,228.8000,193.0500,200.3000,200.3000,95238,0.0000
2024-10-18,212.8000,249.9000,212.2500,233.7000,233.7000,466662,0.0000
2024-10-11,617.1500,710.0000,183.4000,202.7000,202.7000,295713,0.0000
2024-10-04,513.9500,655.0000,507.0000,616.7000,616.7000,360783,0.0000
2024-09-27,540.0000,569.0000,510.5500,514.6500,514.6500,19159,0.0000
2024-09-20,600.0000,600.0000,521.6000,548.3500,548.3500,16950,0.0000
2024-09-13,589.0000,600.0500,563.6500,592.3500,592.3500,14988,0.0000
2024-09-06,567.0500,627.8000,567.0500,582.9000,582.9000,22344,0.0000
2024-08-30,609.2000,612.6500,573.0500,579.9000,579.9000,11897,0.0000
2024-08-23,580.0000,621.6000,580.0000,606.6000,606.6000,12827,0.0000
2024-08-16,630.2500,640.7500,572.0000,585.4000,585.4000,26642,0.0000
2024-08-09,609.9500,648.9500,558.0000,636.2500,636.2500,34914,4.0000
2024-08-02,638.0000,641.2000,596.0500,618.8500,614.8500,30024,0.0000
2024-07-26,603.0000,636.7500,567.1500,630.8000,626.7228,16468,0.0000
2024-07-19,645.7000,655.0500,597.7500,604.8000,600.8908,29643,0.0000
2024-07-12,593.0000,646.7500,569.1000,633.7500,629.6537,37479,0.0000
2024-07-05,562.9000,595.0000,553.9500,587.7000,583.9013,28416,0.0000
2024-06-28,591.1000,601.2000,548.2500,560.5000,556.8772,33498,0.0000
2024-06-21,543.5000,603.6500,537.3000,595.0000,591.1542,66956,0.0000
2024-06-14,487.9000,538.0000,475.4000,535.6500,532.1878,49116,0.0000
2024-06-07,462.4000,494.0500,401.6500,471.9500,468.8995,26811,0.0000
2024-05-31,487.2000,506.9000,444.7000,453.3000,450.3700,30002,0.0000
2024-05-24,485.4500,503.4000,472.5000,482.9000,479.7787,20778,0.0000
2024-05-17,481.4500,494.9000,452.0000,470.3500,467.3098,16781,0.0000
2024-05-10,493.3000,503.0000,462.1000,472.0000,468.9492,50396,0.0000
